"Cluster","Source","Destination","Type","Scaling-Factor"
"EU","Gen11LP","Gen12LP","Active",0.75
"EU","Gen11LP","Gen12LP","Inactive",0.75
"EU","Gen9LP","Gen12LP","Active",1
"EU","Gen9LP","Gen12LP","Inactive",1
"EU","Gen11LP","Gen11LP","Active",1
"EU","Gen11LP","Gen11LP","Inactive",1
"EU","Gen12LP","Gen12HP","Active",5.33
"EU","Gen12LP","Gen12HP","Inactive",5.33
"Sampler","Gen11LP","Gen12LP","Active",1.16
"Sampler","Gen11LP","Gen12LP","Inactive",1.16
"Sampler","Gen9LP","Gen12LP","Active",1
"Sampler","Gen9LP","Gen12LP","Inactive",1
"Sampler","Gen11LP","Gen11LP","Active",1
"Sampler","Gen11LP","Gen11LP","Inactive",1
"Sampler","Gen12LP","Gen12HP","Active",5.33
"Sampler","Gen12LP","Gen12HP","Inactive",5.33
"L3","Gen11LP","Gen12LP","Active",1.08
"L3","Gen11LP","Gen12LP","Inactive",1.08
"L3","Gen9LP","Gen12LP","Active",1
"L3","Gen9LP","Gen12LP","Inactive",1
"L3","Gen11LP","Gen11LP","Active",1
"L3","Gen11LP","Gen11LP","Inactive",1
"L3","Gen12LP","Gen12HP","Active",5.33
"L3","Gen12LP","Gen12HP","Inactive",5.33
"GAM","Gen11LP","Gen12LP","Active",1.29
"GAM","Gen11LP","Gen12LP","Inactive",1.29
"GAM","Gen9LP","Gen12LP","Active",1
"GAM","Gen9LP","Gen12LP","Inactive",1
"GAM","Gen11LP","Gen11LP","Active",1
"GAM","Gen11LP","Gen11LP","Inactive",1
"GAM","Gen12LP","Gen12HP","Active",5.33
"GAM","Gen12LP","Gen12HP","Inactive",5.33
"COLOR","Gen11LP","Gen11LP","Active",1
"COLOR","Gen11LP","Gen11LP","Inactive",1
"COLOR","Gen9LP","Gen12LP","Active",1
"COLOR","Gen9LP","Gen12LP","Inactive",1
"COLOR","Gen11LP","Gen12LP","Active",0.47
"COLOR","Gen11LP","Gen12LP","Inactive",0.47
"COLOR","Gen12LP","Gen12HP","Active",5.33
"COLOR","Gen12LP","Gen12HP","Inactive",5.33
"Rest","Gen11LP","Gen12LP","Active",0.71
"Rest","Gen11LP","Gen12LP","Inactive",0.71
"Rest","Gen9LP","Gen12LP","Active",1
"Rest","Gen9LP","Gen12LP","Inactive",1
"Rest","Gen11LP","Gen11LP","Active",1
"Rest","Gen11LP","Gen11LP","Inactive",1
"Rest","Gen12LP","Gen12HP","Active",5.33
"Rest","Gen12LP","Gen12HP","Inactive",5.33
