Unit,Cluster,Gen9LPClient,Gen9LPSoC,Gen9.5LP,Gen10LP,Gen11LP
NONCLKGLUE,COLOR,1,1,1,1,1.048
CLKGLUE,COLOR,1,1,1,1,1.048
DOP,COLOR,1,1,1,1,1.048
DAPB,COLOR,145640,114829.25,141709,88998.99,88999
DFX,COLOR,200580,422731.43,194986,325962.55,341481.5
RCPBCOM,COLOR,536609,554375.13,514093,491890.63,500165.3
DAPRSC,COLOR,394194,421030.01,383872,557971.3,563438.4
MSC,COLOR,878883,1184764.08,843959,568766.57,573074.2
RCPFE,COLOR,739455,767856,721152,694713.45,738565.6
RCC,COLOR,777146,789136.31,746488,945178.25,918853.2
CC,COLOR,635595,615704.38,609223,1141892.54,1401372.1
RCPBPIX,COLOR,1661830,1772883.72,1574436,1495720.74,1495720.7
SMALL,COLOR,102130,74857.9,98390,212770.95,212794.3
CPunit,COLOR,17900,28278,17452,32588.15,34139.7
Repeater,COLOR,155830,317724.15,149965,136606.92,143110.7
Assign,COLOR,21810,210.84,20988,115527.65,121027.9
CLKGLUE,EU,1,1,1,1,0.700222237
DOP,EU,1,1,1,1,0.700222237
NONCLKGLUE,EU,1,1,1,1,0.700222237
SMALL,EU,20190,20122.8,20190,19960.26,19036.9
DFX,EU,47677,78475.5,47677,64644.24,52833.2
FPU1,EU,346094,367842,346094,387329.734,295239.5
GA,EU,244775,262641.75,244775,424198.09,260733.9
FPU0,EU,383031,363828,383031,385144.2422,293573.6
EM,EU,126180,133671,126180,150063.2238,114384.7
TC,EU,523744,472869.86,523744,599046.26,555615.3
CPunit,EU,4370,4351,4370,6946.48,5677.3
Repeater,EU,0,0,0,0,0
Assign,EU,0,0,0,0,0
BGF,Fabric,0,0,0,1,1
BGFunslice,Fabric,0,0,0,1,1
HorizontalFabric,Fabric,0,0,0,1,1
Repeater,Fabric,0,0,0,1854366.13,1867252.2
UnsliceRepeaters,Fabric,0,0,0,1,1
Repeaters,Fabric,0,0,0,1854366.13,1867252.2
TopLevel,Fabric,0,0,0,1,1
Unslice,Fabric,0,0,0,1,1
LSN,Fabric,0,0,0,1641622.44,3360000
UnsliceLSN,Fabric,0,0,0,1641622.44,200000
CPunit,Fabric,1,0,1,9359.85,10547.5
SMALL,Fabric,1,0,1,1063.45,1063.5
Assign,Fabric,1,0,1,21736.33,24494.5
DFX,Fabric,1,0,1,93106.66,104921.2
