State,Source,Stepping,Weight,Type,RefGC,Comments
INSTR_ADD_UW_EM,Gen8,A0,23.832,syn,397435,
INSTR_ADD_UW_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_ADD_UW_FPU,Gen8,A0,28.519,syn,397435,
INSTR_ADD_UW_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_ADD_W_EM,Gen8,A0,23.832,syn,397435,
INSTR_ADD_W_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_ADD_W_FPU,Gen8,A0,28.519,syn,397435,
INSTR_ADD_W_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_ADD_UD_EM,Gen8,A0,31.084,syn,397435,
INSTR_ADD_UD_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_ADD_UD_FPU,Gen8,A0,40.206,syn,397435,
INSTR_ADD_UD_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_ADD_D_EM,Gen8,A0,31.084,syn,397435,
INSTR_ADD_D_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_ADD_D_FPU,Gen8,A0,40.206,syn,397435,
INSTR_ADD_D_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_ADD_UQ_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_ADD_UQ_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_ADD_Q_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_ADD_Q_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_ADD_HF_EM,Gen8,A0,22.423,syn,397435,
INSTR_ADD_HF_EM,Gen9LPClient,A0,38.9505,syn,416823,
INSTR_ADD_HF_FPU,Gen8,A0,28.014,syn,397435,
INSTR_ADD_HF_FPU,Gen9LPClient,A0,43.0566,syn,416823,
INSTR_ADD_F_EM,Gen8,A0,23.832,syn,397435,
INSTR_ADD_F_EM,Gen9LPClient,A0,31.0606,syn,416823,
INSTR_ADD_F_FPU,Gen8,A0,28.519,syn,397435,
INSTR_ADD_F_FPU,Gen9LPClient,A0,32.7057,syn,416823,
INSTR_ADD_DF_EM,Gen9LPClient,A0,30.2404,syn,416823,
INSTR_ADD_DF_FPU,Gen9LPClient,A0,33.3145,syn,416823,
INSTR_ADDC_UW_EM,Gen8,A0,23.832,syn,397435,
INSTR_ADDC_UW_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_ADDC_UW_FPU,Gen8,A0,28.519,syn,397435,
INSTR_ADDC_UW_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_ADDC_W_EM,Gen8,A0,23.832,syn,397435,
INSTR_ADDC_W_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_ADDC_W_FPU,Gen8,A0,28.519,syn,397435,
INSTR_ADDC_W_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_ADDC_UD_EM,Gen8,A0,31.084,syn,397435,
INSTR_ADDC_UD_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_ADDC_UD_FPU,Gen8,A0,40.206,syn,397435,
INSTR_ADDC_UD_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_ADDC_D_EM,Gen8,A0,31.084,syn,397435,
INSTR_ADDC_D_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_ADDC_D_FPU,Gen8,A0,40.206,syn,397435,
INSTR_ADDC_D_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_ADDC_UQ_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_ADDC_UQ_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_ADDC_Q_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_ADDC_Q_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_ADDC_HF_EM,Gen8,A0,22.423,syn,397435,
INSTR_ADDC_HF_EM,Gen9LPClient,A0,38.9505,syn,416823,
INSTR_ADDC_HF_FPU,Gen8,A0,28.014,syn,397435,
INSTR_ADDC_HF_FPU,Gen9LPClient,A0,43.0566,syn,416823,
INSTR_ADDC_F_EM,Gen8,A0,23.832,syn,397435,
INSTR_ADDC_F_EM,Gen9LPClient,A0,31.0606,syn,416823,
INSTR_ADDC_F_FPU,Gen8,A0,28.519,syn,397435,
INSTR_ADDC_F_FPU,Gen9LPClient,A0,32.7057,syn,416823,
INSTR_ADDC_DF_EM,Gen9LPClient,A0,30.2404,syn,416823,
INSTR_ADDC_DF_FPU,Gen9LPClient,A0,33.3145,syn,416823,
INSTR_AND_UW_EM,Gen8,A0,23.832,syn,397435,
INSTR_AND_UW_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_AND_UW_FPU,Gen8,A0,28.519,syn,397435,
INSTR_AND_UW_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_AND_W_EM,Gen8,A0,23.832,syn,397435,
INSTR_AND_W_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_AND_W_FPU,Gen8,A0,28.519,syn,397435,
INSTR_AND_W_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_AND_UD_EM,Gen8,A0,31.084,syn,397435,
INSTR_AND_UD_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_AND_UD_FPU,Gen8,A0,40.206,syn,397435,
INSTR_AND_UD_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_AND_D_EM,Gen8,A0,31.084,syn,397435,
INSTR_AND_D_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_AND_D_FPU,Gen8,A0,40.206,syn,397435,
INSTR_AND_D_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_AND_UQ_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_AND_UQ_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_AND_Q_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_AND_Q_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_AND_HF_EM,Gen8,A0,22.423,syn,397435,
INSTR_AND_HF_EM,Gen9LPClient,A0,38.9505,syn,416823,
INSTR_AND_HF_FPU,Gen8,A0,28.014,syn,397435,
INSTR_AND_HF_FPU,Gen9LPClient,A0,43.0566,syn,416823,
INSTR_AND_F_EM,Gen8,A0,23.832,syn,397435,
INSTR_AND_F_EM,Gen9LPClient,A0,31.0606,syn,416823,
INSTR_AND_F_FPU,Gen8,A0,28.519,syn,397435,
INSTR_AND_F_FPU,Gen9LPClient,A0,32.7057,syn,416823,
INSTR_AND_DF_EM,Gen9LPClient,A0,30.2404,syn,416823,
INSTR_AND_DF_FPU,Gen9LPClient,A0,33.3145,syn,416823,
INSTR_ASR_UW_EM,Gen8,A0,23.832,syn,397435,
INSTR_ASR_UW_EM,Gen9LPClient,A0,20.1284,syn,416823,
