State,Source,Stepping,Weight,Type,GC,COMMENT,UNIT,CLUSTER,Annealing/TR
EM_add_floatbypass_10%,Gen8,B0,21.46,syn,397435.00,,EM,EU,
EM_add_floatbypass_20%,Gen8,B0,22.65,syn,397435.00,,EM,EU,
EM_add_floatbypass_30%,Gen8,B0,22.88,syn,397435.00,,EM,EU,
EM_add_floatbypass_40%,Gen8,B0,24.30,syn,397435.00,,EM,EU,
EM_add_floatbypass_55%,Gen8,B0,24.22,syn,397435.00,,EM,EU,
EM_add_fp16_10%,Gen8,B0,38.67,syn,397435.00,,EM,EU,
EM_add_fp16_20%,Gen8,B0,35.86,syn,397435.00,,EM,EU,
EM_add_fp16_30%,Gen8,B0,39.86,syn,397435.00,,EM,EU,
EM_add_fp16_40%,Gen8,B0,46.65,syn,397435.00,,EM,EU,
EM_add_fp16_55%,Gen8,B0,43.48,syn,397435.00,,EM,EU,
EM_add_fp32_10%,Gen8,B0,41.94,syn,397435.00,,EM,EU,
EM_add_fp32_20%,Gen8,B0,44.27,syn,397435.00,,EM,EU,
EM_add_fp32_30%,Gen8,B0,44.71,syn,397435.00,,EM,EU,
EM_add_fp32_40%,Gen8,B0,47.49,syn,397435.00,,EM,EU,
EM_add_fp32_55%,Gen8,B0,47.34,syn,397435.00,,EM,EU,
EM_add_fp64_10%,Gen8,B0,30.27,syn,397435.00,,EM,EU,
EM_add_fp64_20%,Gen8,B0,31.98,syn,397435.00,,EM,EU,
EM_add_fp64_30%,Gen8,B0,39.14,syn,397435.00,,EM,EU,
EM_add_fp64_40%,Gen8,B0,43.10,syn,397435.00,,EM,EU,
EM_add_fp64_55%,Gen8,B0,40.07,syn,397435.00,,EM,EU,
EM_add_int16_10%,Gen8,B0,22.00,syn,397435.00,,EM,EU,
EM_add_int16_20%,Gen8,B0,26.83,syn,397435.00,,EM,EU,
EM_add_int16_30%,Gen8,B0,24.99,syn,397435.00,,EM,EU,
EM_add_int16_40%,Gen8,B0,32.19,syn,397435.00,,EM,EU,
EM_add_int16_55%,Gen8,B0,38.46,syn,397435.00,,EM,EU,
EM_add_int32_10%,Gen8,B0,22.14,syn,397435.00,,EM,EU,
EM_add_int32_20%,Gen8,B0,26.23,syn,397435.00,,EM,EU,
EM_add_int32_30%,Gen8,B0,25.99,syn,397435.00,,EM,EU,
EM_add_int32_40%,Gen8,B0,34.22,syn,397435.00,,EM,EU,
EM_add_int32_55%,Gen8,B0,38.48,syn,397435.00,,EM,EU,
EM_add_int64_10%,Gen8,B0,24.32,syn,397435.00,,EM,EU,
EM_add_int64_20%,Gen8,B0,24.30,syn,397435.00,,EM,EU,
EM_add_int64_30%,Gen8,B0,30.54,syn,397435.00,,EM,EU,
EM_add_int64_40%,Gen8,B0,30.88,syn,397435.00,,EM,EU,
EM_add_int64_55%,Gen8,B0,35.87,syn,397435.00,,EM,EU,
EM_add_intbypass_10%,Gen8,B0,11.33,syn,397435.00,,EM,EU,
EM_add_intbypass_20%,Gen8,B0,13.42,syn,397435.00,,EM,EU,
EM_add_intbypass_30%,Gen8,B0,13.30,syn,397435.00,,EM,EU,
EM_add_intbypass_40%,Gen8,B0,17.51,syn,397435.00,,EM,EU,
EM_add_intbypass_55%,Gen8,B0,19.69,syn,397435.00,,EM,EU,
EM_cmp_floatbypass_10%,Gen8,B0,12.55,syn,397435.00,,EM,EU,
EM_cmp_floatbypass_20%,Gen8,B0,15.52,syn,397435.00,,EM,EU,
EM_cmp_floatbypass_30%,Gen8,B0,16.77,syn,397435.00,,EM,EU,
EM_cmp_floatbypass_40%,Gen8,B0,18.86,syn,397435.00,,EM,EU,
EM_cmp_floatbypass_55%,Gen8,B0,14.84,syn,397435.00,,EM,EU,
EM_cmp_fp16_10%,Gen8,B0,21.62,syn,397435.00,,EM,EU,
EM_cmp_fp16_20%,Gen8,B0,27.17,syn,397435.00,,EM,EU,
EM_cmp_fp16_30%,Gen8,B0,28.89,syn,397435.00,,EM,EU,
EM_cmp_fp16_40%,Gen8,B0,36.04,syn,397435.00,,EM,EU,
EM_cmp_fp16_55%,Gen8,B0,27.70,syn,397435.00,,EM,EU,
EM_cmp_fp32_10%,Gen8,B0,19.42,syn,397435.00,,EM,EU,
EM_cmp_fp32_20%,Gen8,B0,24.01,syn,397435.00,,EM,EU,
EM_cmp_fp32_30%,Gen8,B0,25.95,syn,397435.00,,EM,EU,
EM_cmp_fp32_40%,Gen8,B0,29.18,syn,397435.00,,EM,EU,
EM_cmp_fp32_55%,Gen8,B0,22.96,syn,397435.00,,EM,EU,
EM_cmp_fp64_10%,Gen8,B0,26.88,syn,397435.00,,EM,EU,
EM_cmp_fp64_20%,Gen8,B0,31.25,syn,397435.00,,EM,EU,
EM_cmp_fp64_30%,Gen8,B0,34.12,syn,397435.00,,EM,EU,
EM_cmp_fp64_40%,Gen8,B0,36.78,syn,397435.00,,EM,EU,
EM_cmp_fp64_55%,Gen8,B0,37.31,syn,397435.00,,EM,EU,
EM_cmp_int16_10%,Gen8,B0,18.15,syn,397435.00,,EM,EU,
EM_cmp_int16_20%,Gen8,B0,22.00,syn,397435.00,,EM,EU,
EM_cmp_int16_30%,Gen8,B0,19.97,syn,397435.00,,EM,EU,
EM_cmp_int16_40%,Gen8,B0,23.19,syn,397435.00,,EM,EU,
EM_cmp_int16_55%,Gen8,B0,28.73,syn,397435.00,,EM,EU,
EM_cmp_int32_10%,Gen8,B0,19.05,syn,397435.00,,EM,EU,
EM_cmp_int32_20%,Gen8,B0,20.24,syn,397435.00,,EM,EU,
EM_cmp_int32_30%,Gen8,B0,22.68,syn,397435.00,,EM,EU,
EM_cmp_int32_40%,Gen8,B0,27.00,syn,397435.00,,EM,EU,
EM_cmp_int32_55%,Gen8,B0,31.90,syn,397435.00,,EM,EU,
EM_cmp_int64_10%,Gen8,B0,19.91,syn,397435.00,,EM,EU,
EM_cmp_int64_20%,Gen8,B0,21.48,syn,397435.00,,EM,EU,
EM_cmp_int64_30%,Gen8,B0,27.25,syn,397435.00,,EM,EU,
