GennySim/GSim_State_Name,Source,Stepping,Weight,Type,RefGC,Comment
5sec_moving_avg_Adjustment,Gen10LP,A0,0,syn,1,
Architecture,Gen10LP,A0,0,syn,1,
Gennysim_Stat_Clocks,Gen10LP,A0,0,syn,1,
PS0_CS,Gen10LP,A0,2,syn,1,
PS1_CS,Gen10LP,A0,15.34551819,syn,1,
PS2_CS,Gen10LP,A0,41.46661632,syn,1,
PS0_VF_DOP,Gen10LP,A0,0,syn,1,
PS0_VF,Gen10LP,A0,3.57,syn,1,
PS1_VF,Gen10LP,A0,9.09,syn,1,
PS2_VF_Indexed,Gen10LP,A0,35.13,syn,1,
PS2_VF_Sequential,Gen10LP,A0,31.16,syn,1,
PS2_VF_Control,Gen10LP,A0,9.09,syn,1,
PS2_VF_Dropped,Gen10LP,A0,9.09,syn,1,
PS0_VF_Cache_Idle,Gen10LP,A0,0,ebb,1,
PS0_VF_URBFifo_Idle,Gen10LP,A0,0,syn,1,
PS2_VF_Cache_Read,Gen10LP,A0,0,ebb,1,
PS2_VF_Cache_Write,Gen10LP,A0,0,ebb,1,
PS2_VF_URBFifo_Read,Gen10LP,A0,0,syn,1,
PS2_VF_URBFifo_Write,Gen10LP,A0,0,syn,1,
PS0_VFBE1_DOP,Gen10LP,A0,0,syn,1,
PS0_VFBE1,Gen10LP,A0,1.79,syn,1,
PS1_VFBE1,Gen10LP,A0,3.4,syn,1,
PS2_VFBE1,Gen10LP,A0,24.22,syn,1,
PS0_VFBE2_DOP,Gen10LP,A0,0,syn,1,
PSO_VFBE2,Gen10LP,A0,1.73,syn,1,
PS1_VFBE2,Gen10LP,A0,3.26,syn,1,
PS2_VFBE2,Gen10LP,A0,23.38,syn,1,
PS0_VSFE_DOP,Gen10LP,A0,0,syn,1,
PS0_VSFE,Gen10LP,A0,1.02,syn,1,
PS1_VSFE,Gen10LP,A0,4.09,syn,1,
PS2_VSFE,Gen10LP,A0,33.36,syn,1,
PS0_VSBE_DOP,Gen10LP,A0,0,syn,1,
PS0_VSBE,Gen10LP,A0,1.9,syn,1,
PS1_VSBE,Gen10LP,A0,18.7,syn,1,
PS2_VSBE,Gen10LP,A0,56.19,syn,1,
PS0_VSBE_Cache_Idle,Gen10LP,A0,0,ebb,1,
PS2_VSBE_Cache_Read,Gen10LP,A0,0,ebb,1,
PS2_VSBE_Cache_Write,Gen10LP,A0,0,ebb,1,
PS0_HPVS_DOP,Gen10LP,A0,0,syn,1,
PS0_HPVS,Gen10LP,A0,1.77,syn,1,
PS1_HPVS,Gen10LP,A0,6.57,syn,1,
PS2_HPVS,Gen10LP,A0,31.48,syn,1,
PS0_HPVS_Cache_Idle,Gen10LP,A0,0,ebb,1,
PS2_HPVS_Cache_Read,Gen10LP,A0,0,ebb,1,
PS2_HPVS_Cache_Write,Gen10LP,A0,0,ebb,1,
PS0_HS_DOP,Gen10LP,A0,0,syn,1,
PS0_HS,Gen10LP,A0,2.43,syn,1,
PS1_HS,Gen10LP,A0,5.61,syn,1,
PS2_HS_Disabled,Gen10LP,A0,6.05,syn,1,
PS2_HS_Enabled,Gen10LP,A0,19.8,syn,1,
PS0_HS_Cache_Idle,Gen10LP,A0,0,ebb,1,
PS2_HS_Cache_Read,Gen10LP,A0,0,ebb,1,
PS2_HS_Cache_ReadWrite,Gen10LP,A0,0,ebb,1,
PS2_HS_Cache_Write,Gen10LP,A0,0,ebb,1,
PS0_TE,Gen10LP,A0,1.38,syn,1,
PS1_TE,Gen10LP,A0,8.08,syn,1,
PS2_TE_Disabled,Gen10LP,A0,3.34,syn,1,
PS2_TE_Enabled,Gen10LP,A0,18.65,syn,1,
PS0_TDS_DOP,Gen10LP,A0,0,syn,1,
PS0_TDS,Gen10LP,A0,2.4,syn,1,
PS1_TDS,Gen10LP,A0,6.54,syn,1,
PS2_TDS_Disabled,Gen10LP,A0,22.31,syn,1,
PS2_TDS_Enabled,Gen10LP,A0,47.44,syn,1,
PS0_TDS_Cache_Idle,Gen10LP,A0,0,ebb,1,
PS2_TDS_Cache_Read,Gen10LP,A0,0,ebb,1,
PS2_TDS_Cache_ReadWrite,Gen10LP,A0,0,ebb,1,
PS2_TDS_Cache_Write,Gen10LP,A0,0,ebb,1,
PS0_GS_DOP,Gen10LP,A0,0,syn,1,
PS0_GS,Gen10LP,A0,7.36,syn,1,
PS1_GS,Gen10LP,A0,22.73,syn,1,
PS2_GS_Enabled,Gen10LP,A0,37.76,syn,1,
PS2_GS_Disabled,Gen10LP,A0,12.46,syn,1,
PS0_GS_Cache_Idle,Gen10LP,A0,0,ebb,1,
PS2_GS_Cache_Read,Gen10LP,A0,0,ebb,1,
PS2_GS_Cache_ReadWrite,Gen10LP,A0,0,ebb,1,
PS2_GS_Cache_Write,Gen10LP,A0,0,ebb,1,
PS0_SOL_DOP,Gen10LP,A0,0,syn,1,
PS0_SOL,Gen10LP,A0,3.88,syn,1,
PS1_SOL,Gen10LP,A0,4.58,syn,1,
PS2_SOL_Enabled,Gen10LP,A0,11.01,syn,1,
PS2_SOL_Disabled,Gen10LP,A0,4.58,syn,1,
PS0_SOL_Cache_Idle,Gen10LP,A0,0,ebb,1,
PS2_SOL_Cache_Read,Gen10LP,A0,0,ebb,1,
PS2_SOL_Cache_ReadWrite,Gen10LP,A0,0,ebb,1,
PS2_SOL_Cache_Write,Gen10LP,A0,0,ebb,1,
PS0_CL_DOP,Gen10LP,A0,0,syn,1,
PS0_CL,Gen10LP,A0,6.28,syn,1,
PS1_CL,Gen10LP,A0,17.49,syn,1,
PS2_CL_Mustclip,Gen10LP,A0,38.74,syn,1,
PS2_CL_NoMustclip,Gen10LP,A0,82.88,syn,1,
PS0_SFFE_DOP,Gen10LP,A0,0,syn,1,
PS0_SFFE,Gen10LP,A0,4,syn,1,
PS1_SFFE,Gen10LP,A0,5.5,syn,1,
PS2_SFFE_Culled,Gen10LP,A0,33.3,syn,1,
PS2_SFFE_NotCulled_FastClip,Gen10LP,A0,66.67,syn,1,
PS2_SFFE_NotCulled_NotFastClip,Gen10LP,A0,100.44,syn,1,
PS0_SFBE_DOP,Gen10LP,A0,0,syn,1,
PS0_SFBE,Gen10LP,A0,5.6,syn,1,
PS1_SFBE,Gen10LP,A0,8.6,syn,1,
PS2_SFBE_Culled,Gen10LP,A0,39.83,syn,1,
