Config,vr0,vr1
dg2_8x4x16,120,NA
xe2_4x10x16,150,NA
xe2_5x4x16,75,NA
xe2_7x4x16,105,NA
pvc_16x4x16,718,91.485
mtl_1x4x16,12.7512,NA
mtl_2x4x16,25.5024,NA
lnl_2x4x16,30.26,NA
lnl_3x4x16,46.19,NA
pvcxt_B0_gen12_16x4x16,718,91.485
pvcxt_B0_gen12_4x4x16,179.5,22.87
pvcxt_C0_gen12_16x4x16,682,96.05925
pvc-kicker-HBM2e_gen12_16x4x16,718,112
pvc-kicker-HBM3_gen12_16x4x16,718,112
pvcxt_C0_gen12_4x4x16,170.5,24.015
pvc-kicker-HBM2e_gen12_4x4x16,179.5,28
pvc-kicker-HBM3_gen12_4x4x16,179.5,28
RLT-HBM2e-3p2_gen12_16x4x16,718,112
RLT-HBM2e-3p6_gen12_16x4x16,718,112
RLT-HBM2e-3p2_gen12_4x4x16,179.5,28
RLT-HBM2e-3p6_gen12_4x4x16,179.5,28
PVC-C0_HBM2e-3p2_gen12_16x4x16,682,96.05925
PVC-C0_HBM2e-3p6_gen12_16x4x16,682,96.05925
RLT-HBM2e_gen12_4x4x16_gt-800_base,179.5,28
rlt_10x8x8,718,112
pvc_xtplus_gen12_8x8x8,682,96.05925
rlt_8x8x16_1xDP,718,112
rlt_8x8x16_2xDP,718,112
pvc_xtplus_8x8x8,682,96.05925
pvc_xtplus_8x8x8_1600basecap,682,96.05925
pvc_xtplus_2x8x8_1600basecap,170.5,24.015
rlt_5x4x8,179.5,28
