Unit,Cluster,Gen9LPClient,Gen9LPSoC,Gen9LPglv,Gen9.5LP,Gen10LP,Gen11_old,Gen11LP,Gen12LP_Arijit,Gen12LP_28,Gen12LP,Gen11
Assign,COLOR,21810,210.84,210.84,20988,115527.65,120449.066,1,1.095,0.778461219,0.852665621,0.900486301
CC,COLOR,635595,615704.38,615704.38,609223,1141892.54,1372088.687,995298.325,1105523.923,0,0,1037541.99
CLKGLUE,COLOR,1,1,0.93,1,1,1.043,1,1.095,0.778461219,0.852665621,0.900486301
CPunit,COLOR,17900,28278,28278,17452,32588.15,33976.388,22946.25,25126.14375,17862.76576,19565.47851,20662.78379
DAPB,COLOR,145640,114829.25,114829.25,141709,88998.99,88998.99,101371.725,99205.799,63714.38287,101494.534,73845.01
DAPRSC,COLOR,394194,421030.01,421138.51,383872,557971.3,563426.185,215336.235,304695.696,444193.0881,444466.4687,230759.65
DFX,COLOR,200580,422731.43,422731.43,194986,325255.39,339111.094,160914.32,176201.1804,125265.5578,137206.1086,144901.1408
DOP,COLOR,1,1,0.93,1,1,1.043,1,1.095,0.778461219,0.852665621,0.900486301
MSC,COLOR,878883,1184764.08,750872.58,843959,568766.57,573130.478,549488.745,622123.538,238791.9983,581532.9398,524018.58
NONCLKGLUE,COLOR,1,1,0.93,1,1,1.043,1,1.095,0.778461219,0.852665621,0.900486301
RCC,COLOR,777146,789136.31,790221.31,746488,945178.25,917903.825,906395.39,1045222.78,836853.1535,836853.1535,912174.53
RCPBCOM,COLOR,536609,554375.13,554375.13,514093,491890.63,500618.446,296721.785,343151.084,333569.701,333569.701,313644.32
RCPBPIX,COLOR,1661830,1772883.72,1772883.72,1574436,1495720.74,1495720.74,966885.8,1058002.315,1028461.026,1028461.026,982868.37
RCPFE,COLOR,739455,767856,767964.5,721152,694713.45,737272.463,481539.365,577781.84,257715.4506,257935.6118,485814.46
Repeater,COLOR,155830,317724.15,317724.15,149965,136606.92,142426.301,199516.655,218470.7372,155315.9786,170120.9925,179662.0147
SMALL,COLOR,102130,74857.9,74857.9,98390,212770.95,212770.95,621626.16,680680.6452,793837.6326,793837.6326,63027.26
BC,DSSC,639275,643832.52,643832.52,625148,721775.54,780687.415,625294.25,630578.743,702405.3926,702405.3926,622509.94
CLKGLUE,DSSC,0,0,0,0,1,0.997,1,0.995,1.091154805,1.09265522,1.078744805
CPSS,DSSC,0,0,0,0,529685.32,725446.755,610239.39,672309.833,598615.8381,598615.8381,644806.95
CPunit,DSSC,0,0,0,0,1,0.997,16756.65,16672.86675,18284.09917,18309.24109,1
DAPRSS,DSSC,751885,795350.28,795350.28,716394,790554.01,1026411.16,830011.32,848091.526,765537.2082,765537.2082,838791.76
DFX,DSSC,0,0,0,0,1,0.997,141288.89,140582.4456,154168.0513,154380.0432,1
DOP,DSSC,0,0,0,0,1,0.997,1,0.995,1.091154805,1.09265522,1.078744805
GWL,DSSC,90710,93170.81,93170.81,88812,95788.79,158419.647,154502.98,162038.07,166248.4285,166248.4285,154490.37
NONCLKGLUE,DSSC,0,0,0,0,1,0.997,1,0.995,1.091154805,1.09265522,1.078744805
PSD,DSSC,697208,701040.96,701040.96,682330,740239.09,776927.98,723768.91,720714.197,843886.3597,843886.3597,680354.5
Repeater,DSSC,0,0,0,0,1,0.997,71602.64,71244.6268,78129.56471,78236.99835,1
SLMBE,DSSC,0,0,0,0,0,625447.846,531770.66,577261.22,761464.4192,761464.4192,550118.74
SLMFE,DSSC,0,0,0,0,0,210142.2,296415.555,291788.6,277681.6239,283341.1919,577956.45
SMALL,DSSC,0,0,0,0,0,355511.634,562423.01,559610.895,247557.0933,406996.0182,273059.87
Accumulator,EU,0,0,0,0,0,1,1,1,1,1,1
Assign,EU,0,0,0,0,0,1,1,0.785,1.148467002,1.148467002,1.183562148
CLKGLUE,EU,1,1,0.988,1,1,1,1,0.785,1.148467002,1.148467002,1.183562148
CPunit,EU,4370,4351,4351,4370,6555.1,1,3342.95,2624.21575,3839.267764,3839.267764,1
DFX,EU,47677,78475.5,78475.5,47677,131964.48,1,30488.49,23933.46465,35015.0247,35015.0247,1
DOP,EU,1,1,0.988,1,1,1,1,0.785,1.148467002,1.148467002,1.183562148
EM,EU,126180,133671,132021,126180,138731,118631,118631,117211.083,148147.0829,148147.0829,148147.0829
FPU0,EU,383031,363828,363828,383031,357699,144656.01,144656.01,142924.595,239269.2156,239269.2156,240138.0711
FPU1,EU,346094,367842,356842,346094,355702,220912.97,220912.97,218268.821,365402.5369,365402.5369,366729.4189
GA,EU,244775,262641.75,260441.75,244775,424198.09,258209,266443.11,249459.794,259653.5463,259653.5463,289118.22
NONCLKGLUE,EU,1,1,0.988,1,1,1,1,0.785,1.148467002,1.148467002,1.183562148
Repeater,EU,0,0,0,0,0,1,1,0.785,1.148467002,1.148467002,1.183562148
SMALL,EU,20190,20122.8,20122.8,20190,19960.26,1,78097.1,61306.2235,20155.13174,20155.13174,1
TC,EU,523744,472869.86,469569.86,523744,599046.26,462983,479612.93,564652.688,469973.02,469973.02,459991.92
Assign,Fabric,1,0,0,1,21736.33,27117.962,1,1.364,0.91472541,1.529322775,3.652240426
BGF,Fabric,0,0,0,0,1,1,1,1,1,1,1
BGFunslice,Fabric,0,0,0,0,1,1,1,1,1,1,1
CLKGLUE,Fabric,1,0,0,1,1,1.248,1,1.364,0.91472541,1.529322775,3.652240426
CPunit,Fabric,1,0,0,1,9359.85,11677.227,8598.55,11728.4222,7865.312178,13149.95834,31403.97191
DFX,Fabric,1,0,0,1,93106.66,116158.654,74511.29,101633.3996,68157.37033,113951.8128,272133.1455
DOP,Fabric,1,0,0,1,1,1.248,1,1.364,0.91472541,1.529322775,3.652240426
HorizontalFabric,Fabric,0,0,0,0,1,1,1,1,1,1,1
LSN,Fabric,0,0,0,0,1641622.44,1147608,970252.595,965212.45,1172407.928,2171645.262,873764.745
LSNEP,Fabric,0,0,0,0,1641622.44,426591.6,323870.4,327056.32,211711.3163,264639.1454,513349.01
NONCLKGLUE,Fabric,1,0,0,1,1,1.248,1,1.364,0.91472541,1.529322775,3.652240426
Repeater,Fabric,0,0,0,0,1854366.13,2089671.43,30008.21,40931.19844,27449.27221,45892.23898,109597.1977
Repeaters,Fabric,0,0,0,0,1854366.13,240000,0,240000,0,0,0
SMALL,Fabric,1,0,0,1,1063.45,1326.746,439465.51,599430.9556,201638.6151,214936.6809,4944387.83
TopLevel,Fabric,0,0,0,0,1,1,1,1,1,1,1
Unslice,Fabric,0,0,0,0,1,1,1,1,1,1,1
UnsliceLSN,Fabric,0,0,0,0,1641622.44,0,1,0,0,0,0
UnsliceRepeaters,Fabric,0,0,0,0,1,1,1,1,1,1,1
CL,FF,1181388,1046316.97,1057166.97,1151002,1621108.63,1452195.83,1201160.93,1378094.69,1649815.901,1808458.479,1341578.83
CLKGLUE,FF,1,0,0,1,1,0,1,1,0.973270126,1.088501591,1.155497425
CS,FF,468457,423157.86,488257.86,451139,717007.39,244909.884,474856.7,936984.93,159682.82,397740.3933,543014.54
DFX,FF,269084,0,0,148228,0,0,1,1,0.973270126,1.088501591,1.155497425
DOP,FF,1,0,0,1,1,0,1,1,0.973270126,1.088501591,1.155497425
GS,FF,670118,375771.17,375771.17,670118,750842.25,1465064.069,733046.33,1035831.24,1037051.912,1037051.912,1209879.04
HPSDE,FF,0,0,0,0,107800.11,0,0,0,0,0,0
HPVS,FF,0,0,0,0,453188.5,0,0,0,0,0,0
HS,FF,416154,170061.05,170061.05,416154,450496.83,874895.811,472277.11,629437.23,666503.1461,666503.1461,728872.92
NONCLKGLUE,FF,1,0,0,1,1,0,1,1,0.973270126,1.088501591,1.155497425
OACS,FF,178415,170381.16,170381.16,171803,182540.98,250791.421,146830.61,238046.28,147185.7662,147185.7662,144984.05
OTHER_Assign,FF,39340,38942.62,38218.054,39340,8955.86,9345.173,1,1.243,0.973270126,1.088501591,1.155497425
OTHER_CLKGLUE,FF,1,1,1,1,1,1.043,1,1.243,0.973270126,1.088501591,1.155497425
OTHER_CPunit,FF,29690,31487,30901.153,29690,43407.6,45294.539,40542.2,50393.9546,45882.04175,37042.27877,1344.13
OTHER_DFX,FF,269084,456457.36,447964.521,269084,368607.87,384631.341,292281.33,363305.6932,279581.0875,225716.2102,0
OTHER_DOP,FF,1,1,1,1,1,1.043,1,1.243,0.973270126,1.088501591,1.155497425
OTHER_NONCLKGLUE,FF,1,1,1,1,1,1.043,1,1.243,0.973270126,1.088501591,1.155497425
OTHER_Repeater,FF,31450,49117.36,48203.483,31450,403567.11,421110.267,111751.08,138906.5924,0,102629.8936,0
OTHER_SMALL,FF,56830,48510.88,48510.88,56830,267167.29,320598.561,870293.63,1081774.982,13970.05931,280732.5247,42246.38
RS,FF,341060,326483.79,0,331186,330540.29,344177.662,1,0,0,0,0
SDE,FF,68027,45991.1,56841.1,66534,122245.58,131260.513,46875.91,46582.62,46957.32,46957.32,83723.98
SF,FF,1232240,1024442.02,1035292.02,1190368,2149708.02,2088334.795,1,0,0,0,0
SFBE,FF,0,0,0,0,0,0,892844.07,916179.33,894153.6257,894153.6257,872738
SFFE,FF,0,0,0,0,0,0,716423.89,724350.37,738945.7442,738945.7442,680281.26
SOL,FF,283152,275562.78,275562.78,274541,356218.4,367944.024,246060.79,262050.94,293989.7255,293989.7255,243884.16
SVG,FF,123016,114957.11,234307.11,119351,196733.02,87152.006,103819.84,114293.41,47756.93158,115697.8179,100948.66
TDG,FF,153877,148155.5,173110.5,153877,200392.76,287092.51,281883.57,318548.26,294714.0764,137250.8347,280108.88
TDS,FF,770075,305135.7,305135.7,770075,1011631.23,1721956.527,825075.24,1187546.25,0,1170400.373,1353017.21
TE,FF,172875,158742.83,158742.83,167770,241352.59,370164.179,189122.99,206278.89,469815.2968,469815.2968,172755.68
TEGSSOL_Assign,FF,6810,0,0,6810,0,0,1,1.309,0.973270126,1.088501591,1.155497425
TEGSSOL_CLKGLUE,FF,1,1,1,1,1,1.682,1,1.309,0.973270126,1.088501591,1.155497425
TEGSSOL_CPunit,FF,16530,13483.25,13483.25,16530,26659.81,44842.822,8683.02,11366.07318,0,7988.881261,10033.20725
TEGSSOL_DFX,FF,155767,209888.51,209888.51,155767,182568.92,307087.921,56144.48,73493.12432,86974.99728,40783.30255,64874.80209
TEGSSOL_DOP,FF,1,1,1,1,1,1.682,1,1.309,0.973270126,1.088501591,1.155497425
TEGSSOL_NONCLKGLUE,FF,1,1,1,1,1,1.682,1,1.309,0.973270126,1.088501591,1.155497425
TEGSSOL_Repeater,FF,9040,13358.11,13358.11,9040,21944.46,36911.423,12344.46,16158.89814,348022.8441,11278.54846,14263.99175
TEGSSOL_SMALL,FF,242,0,0,242,112719.84,117012.665,133685.32,174994.0839,9791.74275,7905.238102,3.06
TETG,FF,1,0,0,1,1,0,1,0,0,0,0
TSG,FF,506421,243041.33,243041.33,490460,912688.88,609840.066,262610.68,273939.72,32907.86277,32907.86277,403677.13
URBM,FF,180041,160461.25,160461.25,180041,349996.44,394550.451,139089.09,140508.5,164891.119,164891.119,243984.3
VF,FF,733044,663892.47,772392.47,733044,1709401.5,1927643.055,1323846.95,1691585.82,87879.72192,1514439.469,1639328.97
VFBE,FF,531885,533426.05,533426.05,531885,819129.185,1436164.416,555182.557,826855.28,1709500.481,876463.8337,1664525.78
VFBE1,FF,535472,532922.76,532922.76,535472,819129.185,819129.185,0,0,0,0,0
VFBE2,FF,531885,533426.05,533426.05,531885,819129.185,819129.185,0,0,0,0,0
VFE,FF,109550,108329.63,108329.63,105565,108173.44,124045.225,91039.71,97380.89,230307.3955,230307.3955,96327.66
VSBE,FF,636294,307533.56,307533.56,636294,1159832.54,1951627.944,1073604.58,1145265.12,1331096.833,683354.0132,846108.17
VSFE,FF,398948,201312.73,201312.73,398948,718310.64,1002699.409,442049.19,864441.74,642150.4227,642150.4227,786997.48
Assign,GAM,19530,16988.78,16988.78,19582,107400.21,133985.927,1,0.931,1.823320092,1.798191235,1.155465553
CLKGLUE,GAM,1,1,1,1,1,1.248,1,0.931,1.823320092,1.798191235,1.155465553
CPunit,GAM,32520,31279.56,31279.56,31471,28789.43,35915.93,50605.14,47113.38534,92269.36852,90997.71922,58472.4961
DFX,GAM,419640,419446.24,419446.24,391989,294083.92,366881.096,323224.24,300921.7674,589341.251,581218.9955,373474.4754
DOP,GAM,1,1,1,1,1,1.248,1,0.931,1.823320092,1.798191235,1.155465553
GACB,GAM,207289,86347,86347,205140,613657.62,613657.62,456471.16,427071.72,457224.97,457224.97,736666.56
GAFM,GAM,62680,63066.94,73916.94,60877,55174.35,110431.602,70391.35,66375.954,108035.3949,113179.9375,88110.97
GAFS,GAM,765060,489383.02,500233.02,796851,1351676.48,2947960.918,0,0,0,0,0
GAFSRD,GAM,0,0,0,0,0,1218527.82,998290.43,894676.783,458461.2402,458461.2402,1816720.3
GAFSWR,GAM,0,0,0,0,0,334727.5,286790.69,262261.32,337845.526,337845.526,346617.38
GAMD,GAM,1380411,1264483.82,1264483.82,1459204,1495380.78,1133995.488,1173883.56,1112921.7,1112921.7,1112921.7,1191034.66
GAMDM,GAM,0,0,0,0,0,810357.14,0,0,0,0,0
GAMDMRTN,GAM,0,0,0,0,0,310436.45,0,0,0,0,0
GAMDRTN,GAM,0,0,0,0,0,416313.77,390134.33,376465.429,199462.9963,195493.5342,535658.62
GAMTG,GAM,0,0,0,0,1518305.58,1779184.913,1551627.78,1493202.361,1493202.361,1493202.361,1522575.72
GAMTLB,GAM,1796057,1278007.66,1180357.66,1813487,2271806.11,2271806.11,0,0,0,0,0
GAMTM1,GAM,0,0,0,0,0,532513.21,0,0,0,0,0
GAMTO,GAM,0,0,0,0,732808.57,746456.842,666583.81,647880.516,647880.516,647880.516,666239.1
GAMW,GAM,1814046,1212646.47,561646.47,1746184,1912649.09,2730523.694,0,0,0,0,0
GAMWC,GAM,0,0,0,0,703220.36,1521094.964,840930.24,835747.146,835747.146,835747.146,1099142.69
GAMWD,GAM,0,0,0,0,1027389.15,422513.303,332385.49,315421.357,315421.357,315421.357,329561.66
GAPC,GAM,41095,41616.15,41616.15,39383,50117.69,76301.138,43311.885,48795.671,147868.5921,108966.1695,65172.55
GAPL3,GAM,109287,61360.08,61360.08,104308,87969.27,11925.941,7354.05,8577.225,14754.84933,14744.04368,8761.36
GAPS,GAM,103078,99631.89,99631.89,96195,138892.89,32287.865,21348.01,20394.407,19988.26214,19988.26214,20026.03
GAPZ,GAM,77322,68676.51,68676.51,72107,70566.44,103225.917,63092.32,70778.986,151070.4584,118698.2173,92844.37
GASS,GAM,0,0,0,0,31444.99,31444.99,34671.785,31248.031,31248.031,31248.031,32138.52
GATR,GAM,1159280,905422.14,0,1101837,1274301.52,1442243.08,1199014.62,1131199.765,1131199.765,1131199.765,1238326.82
GATRW,GAM,210123,0,0,200603,198854.81,203272.961,164801.95,159743.489,159743.489,159743.489,157225.98
MARB,GAM,0,0,0,0,296418.28,296418.28,155726.52,131048.254,128968.5777,118265.1597,161724.35
NONCLKGLUE,GAM,1,1,1,1,1,1.248,1,0.931,1.823320092,1.798191235,1.155465553
Repeater,GAM,196620,100620.77,100620.77,181951,110443.4,137782.425,155827.02,145074.9556,284122.5364,280206.7816,180052.7539
SMALL,GAM,321425,204166.88,204166.88,227756,53800.59,846624.988,1182144.16,1100576.213,9823853.517,9662451.429,1028931.84
Assign,GTI,42720,0,0,55995,74672,37382.233,1,1.201,1.53771423,1.318185744,1.935763852
CLKGLUE,GTI,1,1,1,1,1,0.501,1,1.201,1.53771423,1.318185744,1.935763852
CPunit,GTI,40960,32768.56,32768.56,44110,79672,39885.328,38581.54,46336.42954,59327.38308,50857.636,74684.75048
DFX,GTI,549319,570084.64,570084.64,540631,636138.84,318463.282,100741.56,120990.6136,154911.7304,132796.0882,195011.8702
DOP,GTI,1,1,1,1,1,0.501,1,1.201,1.53771423,1.318185744,1.935763852
DOP1X,GTI,0,0,0,0,1,0,1,1,1,1,1
DOP2X,GTI,0,0,0,0,1,0,1,1,1,1,1
GLUE,GTI,0,0,0,0,1,0,1,0,0,0,0
MBGF,GTI,456237,438917.46,438917.46,452996,375877,0,0,0,0,0,0
MBGFGT,GTI,1,438917.46,438917.46,1,179775.74,0,0,118754.933,155980.833,0,0
MBGFUC,GTI,1,0,0,1,196101.49,0,0,162374.085,202069.2564,0,0
MDRB,GTI,1,203935.02,203935.02,1,436664.84,0,0,331790.105,331790.105,331790.105,0
MediaIdle,GTI,42720,0,0,42720,0,2708390.944,1007222.44,1242778.047,1028557.939,965045.7093,2411562.5
MFC,GTI,1,20601.32,20601.32,1,27399.32,220026.57,30156.04,39676.211,39676.211,39676.211,183396.64
MIDI,GTI,37953,18183.06,18183.06,19956,13739.34,0,0,0,0,0,0
MISD,GTI,703038,699081.1,699081.1,660267,648070.87,0,0,0,0,0,0
MLINT,GTI,0,0,0,0,0,276090.67,73016.26,88194.808,208070.9232,208070.9232,478613.86
MSNP,GTI,1,861224.72,461224.72,1,317044.5,0,0,0,0,0,0
MSQC,GTI,1097233,897016.61,1153076.61,1200563,1555633.26,0,0,0,0,0,0
MSQD,GTI,397879,527006.68,674566.68,533314,867462.99,0,0,0,0,0,0
NONCLKGLUE,GTI,1,1,1,1,1,0.501,1,1.201,1.53771423,1.318185744,1.935763852
Repeater,GTI,12970,9.07,9.07,12214,91002.24,45557.464,103311.96,124077.664,158864.271,136184.3528,199987.5576
