Unit,Cluster,Gen8,Gen8SoC
CC,COLOR,0,0
DAPB,COLOR,0,0
DAPRSC,COLOR,369666,243043
MSC,COLOR,375311,366449
RCC,COLOR,530419,446712
RCPBCOM,COLOR,1165372,496617.5
RCPBPIX,COLOR,1165372,496617.5
RCPFE,COLOR,621614,602020
DFX,EU,33151,41410
DOP,EU,1,1
EM,EU,415422.5,402737.5
FPU,EU,415422.5,402737.5
GA,EU,219631,220927
GLUE,EU,0,0
SMALL,EU,10787,25994
TC,EU,457215,446188
CL,FF,1008004,840455
CS,FF,491678,419884
DFX,FF,482749,407555
DOP,FF,1,1
GLUE,FF,0,0
GS,FF,876901,327395
HS,FF,385790,86143
OACS,FF,160453,144756
RS,FF,279987,266523
SDE,FF,62755,43612
SF,FF,1247588,997283
SMALL,FF,555814,246703
SOL,FF,281613,257759
SVG,FF,74370,63515
TDG,FF,153640,48955
TDS,FF,950880,275108
TE,FF,128014,100075
TETG,FF,39155,29824
TSG,FF,272813,230252
URBM,FF,186119,148169
VF,FF,1649144,848433
VFBE1,FF,0,0
VFBE2,FF,0,0
VFE,FF,99841,94890
VSBE,FF,825443,506188
VSFE,FF,825443,506188
DFX,GAM,176094,125155
DOP,GAM,1,1
GACB,GAM,0,0
GAFM,GAM,0,0
GAFS,GAM,0,0
GAMD,GAM,0,0
GAMTLB,GAM,0,0
GAMW,GAM,0,0
GAPC,GAM,0,0
GAPL3,GAM,0,0
GAPS,GAM,0,0
GAPZ,GAM,0,0
GLUE,GAM,0,0
SMALL,GAM,209567,17958
GAM,GAM,4358912,2310995
DOP,GTI,1,1
DOP1X,GTI,1,1
DOP2X,GTI,1,1
GLUE,GTI,0,0
GTI,GTI,2579127,3231753
SMALL,GTI,523476,192032
DFX,HDC,0,0
DOP,HDC,1,1
GLUE,HDC,0,0
HDCREQCMD1,HDC,0,1352354
HDC,HDC,0,0
HDCREQCMD2,HDC,0,1352354
HDCREQDATA,HDC,1432314,0
HDCRET,HDC,1734536,1079099
HDCTLB,HDC,1264900,149967
SMALL,HDC,0,0
SMALL,HDC,0,0
SMALL,HDC,0,0
DFX,L3_Bank,48135,66540
DOP,L3_Bank,1,1
GLUE,L3_Bank,0,0
L3BankOther,L3_Bank,0,0
LNE,L3_Bank,517106,153496
LNEXS,L3_Bank,0,0
LNI,L3_Bank,771830,432677
LNIXS,L3_Bank,0,0
LSLM,L3_Bank,178010,133007
LSQC,L3_Bank,308098,320807
LSQD,L3_Bank,271675,277195
LTCC,L3_Bank,18954,10034
LTCD_Data,L3_Bank,873962,519205
LTCD_EBB,L3_Bank,1,1
LTCD_Tag,L3_Bank,873962,519205
SMALL,L3_Bank,109910,53753
Blitter,Other,0,638788
ClockSpine,Other,1,1
Media_Idle,Other,1393579,18151629
RoutingChannel,Other,1,0
DFX,ROSC,756001,633563
DOP,ROSC,1,1
GLUE,ROSC,0,0
SARB,ROSC,297121,156871
SBE,ROSC,1107984,766545
SMALL,ROSC,1592666,692410
SVL,ROSC,87170,87975
TDC,ROSC,115718,112813
WMBE,ROSC,593720,564801
WMFE,ROSC,197388,186157
BC,ROSS,526126,502960
DAPRSS,ROSS,443333,446216
DFX,ROSS,326669,356387
DOP,ROSS,1,1
GLUE,ROSS,0,0
GWL,ROSS,175465,111981
IC,ROSS,242112,217195
MA_IN,ROSS,70830,67337
MA_OUT,ROSS,70830,67337
PSD,ROSS,652302,623503
SMALL,ROSS,305172,282480
TDL,ROSS,494421,461367
DG,Sampler,231156,228866
DM,Sampler,612939,830559
FL,Sampler,903286,841827
FT,Sampler,92925,111212
MT,Sampler,324226,320833
PL,Sampler,466356,464291
SC,Sampler,331430,312240
SI,Sampler,334965,309470
SO,Sampler,104918,100620
ST,Sampler,371169,362822
SVSM,Sampler,128932,132024
HIZ,Z,1695172,1599663
IZ,Z,965588,920054
RCZ,Z,967749,574307
STC,Z,695600,509621
Media,Sampler,2297386,1600263
Media_Idle,Other,9317224,18151629
DAPRSS_BypassRAM,ROSS,1,1
DAPRSS_BypassRAM,ROSS,1,1
