Source,Destination,Scaling_Factor_Syn,Scaling_Factor_EBB
ADL,ADL,0.956664,0.956664
DG2,ADL,1,1
DG2,CPL,0.9,0.9
MTL,CPL,1,1
LNL,CPL,1,1
CPL,CPL,1,1
DG2,DG2,1,1
DG2,DG2p5,0.9,0.9
DG2p5,DG2p5,1,1
DG2,LNL,0.9,0.9
MTL,LNL,1,1
LNL,LNL,1,1
DG2,MTL,0.9,0.9
MTL,MTL,1,1
DG2,PTL,0.9,0.9
MTL,PTL,1,1
LNL,PTL,1,1
PTL,PTL,1,1
DG2,PVC,1,1
ADL,PVC,1,1
PVC,PVC,1,1
DG2,PVC_A21,1,1
ADL,PVC_A21,1,1
PVC,PVC_A21,1,1
PVC,PVC2,0.8736,0.8736
PVC2,PVC2,0.8736,0.8736
DG2,PVC2,0.8736,0.8736
PVCDP,PVC2,0.8736,0.8736
DG2,PVCDP,1,1
PVC,PVCDP,1,1
PVCDP,PVCDP,1,1
DG2,PVCK2xEU,1,1
PVC,PVCK2xEU,1,1
PVCDP,PVCK2xEU,1,1
PVCXT,PVCK2xEU,1,1
PVCK2xEU,PVCK2xEU,1,1
DG2,PVCK2xSA,1,1
PVC,PVCK2xSA,1,1
PVCDP,PVCK2xSA,1,1
PVCXT,PVCK2xSA,1,1
PVCK2xSA,PVCK2xSA,1,1
DG2,PVCXT,1,1
PVC,PVCXT,1,1
PVCDP,PVCXT,1,1
PVCXT,PVCXT,1,1
DG2,PVCXTTrend,1,1
PVC,PVCXTTrend,1,1
PVCDP,PVCXTTrend,1,1
PVCXT,PVCXTTrend,1,1
PVCXTTrend,PVCXTTrend,1,1
DG2,RLT1,1,1
PVC,RLT1,1,1
PVCDP,RLT1,1,1
PVCXT,RLT1,1,1
PVCXTTrend,RLT1,1,1
RLT1,RLT1,1,1
DG2,RLT_Plan,0.85,0.85
PVC,RLT_Plan,0.85,0.85
PVCDP,RLT_Plan,0.85,0.85
PVCXT,RLT_Plan,0.85,0.85
PVCXTTrend,RLT_Plan,0.85,0.85
RLT_Plan,RLT_Plan,1,1
DG2,RLTB_EC_0_5,1,1
PVC,RLTB_EC_0_5,1,1
PVCDP,RLTB_EC_0_5,1,1
PVCXT,RLTB_EC_0_5,1,1
PVCXTTrend,RLTB_EC_0_5,1,1
RLTB_EC_0_5,RLTB_EC_0_5,1,1
DG2,RLTCONCEPT,1,1
PVC,RLTCONCEPT,1,1
PVCDP,RLTCONCEPT,1,1
PVCXT,RLTCONCEPT,1,1
RLTCONCEPT,RLTCONCEPT,1,1
DG2,Xe2,0.9,0.9
Xe2,Xe2,1,1
DG2,Xe2_BNA4_Plan,0.9,0.9
Xe2_Plan,Xe2_BNA4_Plan,1,1
Xe2_BNA4_Plan,Xe2_BNA4_Plan,1,1
Gen12HP,Xe2_BNA4_Plan,0.94,0.94
Gen12LP,Xe2_BNA4_Plan,0.81,0.81
Gen11LP,Xe2_BNA4_Plan,0.81,0.81
DG2,Xe2_Plan,0.9,0.9
Xe2_Plan,Xe2_Plan,1,1
Gen12HP,Xe2_Plan,0.9441,0.9441
Gen12LP,Xe2_Plan,0.81,0.81
Gen11LP,Xe2_Plan,0.81,0.81
DG2,Xe3,1,1
PVC,Xe3,1,1
PVCDP,Xe3,1,1
Xe3,Xe3,1,1
DG2,Xe3_FCS,0.85,0.85
PVCXTTrend,Xe3_FCS,0.85,0.85
PVC,Xe3_FCS,0.85,0.85
PVCDP,Xe3_FCS,0.85,0.85
PVCXT,Xe3_FCS,0.85,0.85
RLT_Plan,Xe3_FCS,1,1
Xe3_FCS,Xe3_FCS,1,1
DG2,Xe3_FCS_LOS,0.85,0.85
PVCXTTrend,Xe3_FCS_LOS,0.85,0.85
PVC,Xe3_FCS_LOS,0.85,0.85
PVCDP,Xe3_FCS_LOS,0.85,0.85
PVCXT,Xe3_FCS_LOS,0.85,0.85
RLT_Plan,Xe3_FCS_LOS,1,1
Xe3_FCS,Xe3_FCS_LOS,1,1
Xe3_FCS_LOS,Xe3_FCS_LOS,1,1
DG2,Xe3_FCS_SW,1,1
PVCXTTrend,Xe3_FCS_SW,1,1
PVC,Xe3_FCS_SW,1,1
PVCDP,Xe3_FCS_SW,1,1
PVCXT,Xe3_FCS_SW,1,1
RLT_Plan,Xe3_FCS_SW,1,1
Xe3_FCS,Xe3_FCS_SW,1,1
Xe3_FCS_SW,Xe3_FCS_SW,1,1
PVC2,Xe3_XPC,1,1
PVC_A21,Xe3_XPC,1,1
PVC_Scaled,Xe3_XPC,1,1
Xe3_XPC,Xe3_XPC,1,1
RLT1,Xe3_XPC,1,1
PVCXTTrend,Xe3_XPC,1,1
PVCXT,Xe3_XPC,1,1
PVCDP,Xe3_XPC,1,1
PVC,Xe3_XPC,1,1
DG2,Xe3_XPC,1,1
