Cluster,Source,Destination,Cdyn reduction
COLOR,DG2,PVC,1
COLOR,DG2,PVC_A21,1
CSC,Xe3_FCS,Xe3_FCS,1
CSC,Xe3_FCS,Xe3_FCS_LOS,1
CSC,Xe3_FCS_LOS,Xe3_FCS_LOS,1
CSC,Xe3_FCS,Xe3_FCS_MSC,1
CSC,Xe3_FCS_MSC,Xe3_FCS_MSC,1
CSC,Xe3_FCS,Xe3_FCS_SYS2,1
CSC,Xe3_FCS_LOS,Xe3_FCS_SYS2,1
CSC,Xe3_FCS_SYS2,Xe3_FCS_SYS2,1
NIU,PVCDP,Xe3_FCS,1
NIU,PVCXT,Xe3_FCS,1
NIU,PVCXTTrend,Xe3_FCS,1
NIU,Xe3_FCS,Xe3_FCS,1
NIU,PVCDP,Xe3_FCS_LOS,1
NIU,PVCXT,Xe3_FCS_LOS,1
NIU,PVCXTTrend,Xe3_FCS_LOS,1
NIU,Xe3_FCS,Xe3_FCS_LOS,1
NIU,Xe3_FCS_LOS,Xe3_FCS_LOS,1
NIU,Xe3_FCS,Xe3_FCS_MSC,1
NIU,Xe3_FCS_MSC,Xe3_FCS_MSC,1
NIU,Xe3_FCS,Xe3_FCS_SYS2,1
NIU,Xe3_FCS_LOS,Xe3_FCS_SYS2,1
NIU,Xe3_FCS_SYS2,Xe3_FCS_SYS2,1
SpineNonSpine,PVCDP,Xe3_FCS,1
SpineNonSpine,PVCXT,Xe3_FCS,1
SpineNonSpine,PVCXTTrend,Xe3_FCS,1
SpineNonSpine,Xe3_FCS,Xe3_FCS,1
SpineNonSpine,PVCDP,Xe3_FCS_LOS,1
SpineNonSpine,PVCXT,Xe3_FCS_LOS,1
SpineNonSpine,PVCXTTrend,Xe3_FCS_LOS,1
SpineNonSpine,Xe3_FCS,Xe3_FCS_LOS,1
SpineNonSpine,Xe3_FCS_LOS,Xe3_FCS_LOS,1
SpineNonSpine,PVCDP,Xe3_FCS_MSC,1
SpineNonSpine,PVCXT,Xe3_FCS_MSC,1
SpineNonSpine,PVCXTTrend,Xe3_FCS_MSC,1
SpineNonSpine,Xe3_FCS,Xe3_FCS_MSC,1
SpineNonSpine,Xe3_FCS_MSC,Xe3_FCS_MSC,1
SpineNonSpine,PVCDP,Xe3_FCS_SYS2,1
SpineNonSpine,PVCXT,Xe3_FCS_SYS2,1
SpineNonSpine,PVCXTTrend,Xe3_FCS_SYS2,1
SpineNonSpine,Xe3_FCS,Xe3_FCS_SYS2,1
SpineNonSpine,Xe3_FCS_LOS,Xe3_FCS_SYS2,1
SpineNonSpine,Xe3_FCS_SYS2,Xe3_FCS_SYS2,1
DSSC,DG2,CPL,1
DSSC,MTL,CPL,1
DSSC,LNL,CPL,1
DSSC,CPL,CPL,1
DSSC,DG2,DG2,1
DSSC,DG2,LNL,1
DSSC,MTL,LNL,1
DSSC,LNL,LNL,1
DSSC,DG2,MTL,1
DSSC,MTL,MTL,1
DSSC,DG2,PTL,1
DSSC,MTL,PTL,1
DSSC,LNL,PTL,1
DSSC,PTL,PTL,1
DSSC,PVC,PVC,1.134216
DSSC,DG2,PVC,1
DSSC,DG2,PVC_A21,1
DSSC,PVC,PVC2,1.2744
DSSC,DG2,PVC2,1
DSSC,PVC,PVCDP,1.2744
DSSC,DG2,PVCDP,1
EU,DG2,CPL,0.9
EU,MTL,CPL,1
EU,LNL,CPL,1
EU,CPL,CPL,1
EU,DG2,DG2,0.9
EU,DG2,LNL,0.9
EU,MTL,LNL,1
EU,LNL,LNL,1
EU,DG2,MTL,0.9
EU,MTL,MTL,1
EU,DG2,PTL,0.9
EU,MTL,PTL,1
EU,LNL,PTL,1
EU,PTL,PTL,1
EU,PVC,PVC,0.93
EU,DG2,PVC,0.888576
EU,PVC,PVC_A21,1.1
EU,DG2,PVC_A21,0.888576
EU,PVC,PVC2,1.08
EU,PVC2,PVC2,1.08
EU,PVCDP,PVC2,1.08
EU,DG2,PVC2,0.888576
EU,PVC,PVCDP,0.9766
EU,PVCDP,PVCDP,1
EU,DG2,PVCDP,0.888576
EU,PVC,PVCXT,0.9277
EU,PVCDP,PVCXT,0.95
EU,PVCXT,PVCXT,1
EU,DG2,PVCXT,0.844
EU,PVC,PVCXTTrend,0.9277
EU,PVCDP,PVCXTTrend,1
EU,PVCXT,PVCXTTrend,1
EU,PVCXTTrend,PVCXTTrend,1
EU,DG2,PVCXTTrend,0.844
EU,PVC,RLT1,0.9277
EU,PVCDP,RLT1,1
EU,PVCXT,RLT1,1
EU,PVCXTTrend,RLT1,1
EU,RLT1,RLT1,1
EU,DG2,RLT1,0.844
EU,PVC,RLT_Plan,0.9277
EU,PVCDP,RLT_Plan,1
EU,PVCXT,RLT_Plan,1
EU,PVCXTTrend,RLT_Plan,1
EU,RLT_Plan,RLT_Plan,1
EU,DG2,RLT_Plan,0.844
EU,PVC,RLT_Plus,0.9277
EU,PVCDP,RLT_Plus,1
EU,PVCXT,RLT_Plus,1
EU,PVCXTTrend,RLT_Plus,1
EU,RLT_Plan,RLT_Plus,1
EU,RLT_Plus,RLT_Plus,1
EU,DG2,RLT_Plus,0.844
EU,DG2,Xe2,1
EU,Xe2,Xe2,1
EU,DG2,Xe2_Plan,0.9
EU,Xe2_Plan,Xe2_Plan,1
EU,DG2,Xe3,1
EU,Xe2,Xe3,1
EU,PVC,Xe3_FCS,0.9277
EU,PVCDP,Xe3_FCS,1
EU,PVCXT,Xe3_FCS,1
EU,PVCXTTrend,Xe3_FCS,1
EU,RLT_Plan,Xe3_FCS,1
EU,Xe3_FCS,Xe3_FCS,1
EU,DG2,Xe3_FCS,0.844
EU,Xe3_XPC,Xe3_XPC,1
EU,RLT1,Xe3_XPC,1
EU,PVCXTTrend,Xe3_XPC,1
EU,PVCXT,Xe3_XPC,1
EU,PVCDP,Xe3_XPC,1
EU,PVC,Xe3_XPC,0.9277
EU,DG2,Xe3_XPC,0.76
EU,PVC,Xe3_FCS_LOS,0.9277
EU,PVCDP,Xe3_FCS_LOS,1
EU,PVCXT,Xe3_FCS_LOS,1
EU,PVCXTTrend,Xe3_FCS_LOS,1
EU,RLT_Plan,Xe3_FCS_LOS,1
EU,Xe3_FCS,Xe3_FCS_LOS,1
EU,Xe3_FCS_LOS,Xe3_FCS_LOS,1
EU,DG2,Xe3_FCS_LOS,0.844
EU,DG2,Xe3_FCS_MSC,0.844
EU,PVC,Xe3_FCS_MSC,0.9277
EU,PVCDP,Xe3_FCS_MSC,1
EU,PVCXT,Xe3_FCS_MSC,1
EU,PVCXTTrend,Xe3_FCS_MSC,1
EU,RLT_Plan,Xe3_FCS_MSC,1
EU,Xe3_FCS,Xe3_FCS_MSC,1
EU,Xe3_FCS_MSC,Xe3_FCS_MSC,1
EU,PVC,Xe3_FCS_SYS2,0.9277
EU,PVCDP,Xe3_FCS_SYS2,1
EU,PVCXT,Xe3_FCS_SYS2,1
EU,PVCXTTrend,Xe3_FCS_SYS2,1
EU,RLT_Plan,Xe3_FCS_SYS2,1
EU,Xe3_FCS,Xe3_FCS_SYS2,1
EU,Xe3_FCS_LOS,Xe3_FCS_SYS2,1
EU,DG2,Xe3_FCS_SYS2,0.844
EU,Xe3_FCS_SYS2,Xe3_FCS_SYS2,1
Fabric,DG2,PVC,1.461988304
Fabric,DG2,PVC2,1.461988304
Fabric,DG2,PVCDP,1.461988304
FabricsSpine,DG2,CPL,1
FabricsSpine,MTL,CPL,1
FabricsSpine,LNL,CPL,1
FabricsSpine,CPL,CPL,1
FabricsSpine,DG2,DG2,1
FabricsSpine,DG2,LNL,1
FabricsSpine,MTL,LNL,1
FabricsSpine,LNL,LNL,1
FabricsSpine,DG2,MTL,1
FabricsSpine,MTL,MTL,1
FabricsSpine,DG2,PTL,1
FabricsSpine,MTL,PTL,1
FabricsSpine,LNL,PTL,1
FabricsSpine,PTL,PTL,1
FabricsSpine,PVC,PVC,1
FabricsSpine,PVC,PVC_A21,1
FabricsSpine,PVC_A21,PVC_A21,1
