Fub	Location	Cluster	Unit	Function	Formula1	EC1	Idle	Leakage	Source1	Comment
mpbgfcmdd	Uncore	NTR	bgf_command	mpbgfcmdd	un_imph_alloc_cbotrk	19.82	3.5223	0		
mpbgfdatad	Uncore	NTR	bgf_data	mpbgfdatad	un_imph_alloc_cbotrk	43.6	0.59235	0		
cbc7rom0	Uncore	CBO	cbo_misc	cbc7rom0	p0.rstop0.ring_stop_cycles	0.0	0.07035* p0.num_cbox	0		
cbcltstd0	Uncore	CBO	cbo_misc	cbcltstd0	p0.rstop0.ring_stop_cycles	0.1	0.63705* p0.num_cbox	0		
cbcoreifcd00	Uncore	CBO	cbo_misc	cbcoreifcd00	p0.rstop0.ring_stop_cycles	10.1	3.06498* p0.num_cbox	0		
cbdfxs0	Uncore	CBO	cbo_misc	cbdfxs0	p0.rstop0.ring_stop_cycles	0.1	0.5341* p0.num_cbox	0		
cbpmas0	Uncore	CBO	cbo_misc	cbpmas0	p0.rstop0.ring_stop_cycles	0.1	2.25591* p0.num_cbox	0		
cbringturnd	Uncore	CBO	cbo_misc	cbringturnd	p0.rstop0.ring_stop_cycles	0.8	0.53145* p0.num_cbox	0		
cbsbfm0	Uncore	CBO	cbo_misc	cbsbfm0	p0.rstop0.ring_stop_cycles	2.8	0.67681* p0.num_cbox	0		
gbph2latchd	Uncore	CBO	cbo_misc	gbph2latchd	p0.rstop0.ring_stop_cycles	21.3	1.3* p0.num_cbox	0		
mpcbotrks	Uncore	NTR	cbo_tracker	mpcbotrks	un_imph_alloc_cbotrk	428.89	8.58647	0		
mpcbodbslice0	Uncore	NTR	cbo_tracker_data	mpcbodbslice0	un_imc_entering_chnl	23.94	0.27346	0		
mpcbodbslice1	Uncore	NTR	cbo_tracker_data	mpcbodbslice1	un_imc_entering_chnl	22.6	0.27346	0		
mpcbodbslice2	Uncore	NTR	cbo_tracker_data	mpcbodbslice2	un_imc_entering_chnl	21.39	0.27344	0		
mpcbodbslice3	Uncore	NTR	cbo_tracker_data	mpcbodbslice3	un_imc_entering_chnl	20.36	0.27355	0		
mpcbocohtrkd	Uncore	NTR	cbocoh_tracker	mpcbocohtrkd	un_imc_entering_chnl	9.15	1.14925	0		
mpcohtrks	Uncore	NTR	coh_tracker	mpcohtrks	un_imph_cbotrk_cam_cohtrk	-4.77	3.53088	0	
cbeccd00	Uncore	CBO	ecc	cbeccd00	un_llc_data_lookup + un_llc_data_update	47.13687822	.77 * p0.num_cbox	1.98622		
cbeccd10	Uncore	CBO	ecc	cbeccd10	un_llc_data_lookup + un_llc_data_update	44.86672384	.77 * p0.num_cbox	1.98514		
cbegrctls0	Uncore	CBO	egress	cbegrctls0	un_cbo_pipe_acquire_ak_egr_credit + un_cbo_pipe_acquire_ad_egr_credit + un_cbo_pipe_acquire_sn_egr_credit + un_cbo_pipe_acquire_bk_egr_credit	25.7715796	8.58 * p0.num_cbox	3.92753		
gbadm	Uncore	GBO	gbo	gbadm	p0.gti0.gt_reqs	-0.02691058	0.88042	0.82136		
gbakm	Uncore	GBO	gbo	gbakm	p0.gti0.gt_reqs	45.76700285	0.96735	0.34745		
gbbenm	Uncore	GBO	gbo	gbbenm	p0.gti0.gt_reqs	47.86913776	0.2091	0.33392		
gbbldm0	Uncore	GBO	gbo	gbbldm0	p0.gti0.gt_reqs	0	1.13335	1.85766		
gbbldm1	Uncore	GBO	gbo	gbbldm1	p0.gti0.gt_reqs	95.4453688	1.13335	1.85757		
gbbldm2	Uncore	GBO	gbo	gbbldm2	p0.gti0.gt_reqs	94.09206563	1.13335	1.85755		
gbbldm3	Uncore	GBO	gbo	gbbldm3	p0.gti0.gt_reqs	30.4633746	1.13335	1.85732		
gbbvm	Uncore	GBO	gbo	gbbvm	p0.gti0.gt_reqs	30.4772485	3.89259	1.04452		
gbdfxs	Uncore	GBO	gbo	gbdfxs	p0.gti0.gt_reqs	0.317413356	0.5341	2.50565		
gbegrctls	Uncore	GBO	gbo	gbegrctls	p0.gti0.gt_reqs	24.1487743	4.28369	3.91884		
